STABR,FSCSKEY,FSCS_SEQ,LIBID,LIBNAME,ADDRESS,CITY,CNTY,ZIP,ZIP4,PHONE,C_OUT_TY,C_MSA,L_NUM_BM,WEB_ADDR,PUB_FIPS,CNTYFIPS,YR_SUB
AK,AK0001,2,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,73405 MILO FITZ ROAD,ANCHOR POINT,KENAI PENINSULA,99556,129,9072355692,CE,NO,0,M,2,122,2001
AK,AK0002,7,AK0002-007,CHUGIAK/EAGLE RIVER BRANCH LIBRARY,12400 OLD GLENN HIGHWAY,EAGLE RIVER,ANCHORAGE,99577,7726,9076945284,BR,CC,0,WWW.CI.ANCHORAGE.AK.US/SERVICES/DEPARTMENTS,2,20,2001
AK,AK0002,8,AK0002-008,MULDOON BRANCH LIBRARY,5530 EAST NORTHERN LIGHTS BOULEVARD,ANCHORAGE,ANCHORAGE,99504,3500,9073384590,BR,CC,0,WWW.CI.ANCHORAGE.AK.US/SERVICES/DEPARTMENTS,2,20,2001
AK,AK0002,9,AK0002-009,SAMSON-DIMOND BRANCH LIBRARY,"800 EAST DIMOND BOULEVARD, SUITE 23",ANCHORAGE,ANCHORAGE,99515,2042,9073434051,BR,CC,0,WWW.CI.ANCHORAGE.AK.US/SERVICES/DEPARTMENTS,2,20,2001
AK,AK0002,10,AK0002-010,SCOTT AND WESLEY GERRISH BRANCH LIBRARY,169 HIGHTOWER STREET,GIRDWOOD,ANCHORAGE,99587,169,9077832106,BR,CC,0,WWW.CI.ANCHORAGE.AK.US/SERVICES/DEPARTMENTS,2,20,2001
AK,AK0002,11,AK0002-011,Z. J. LOUSSAC LIBRARY,3600 DENALI STREET,ANCHORAGE,ANCHORAGE,99503,6093,9073432975,CE,CC,0,WWW.CI.ANCHORAGE.AK.US/SERVICES/DEPARTMENTS,2,20,2001
AK,AK0002,12,AK0002-012,MOUNTAIN VIEW BRANCH LIBRARY,150 SOUTH BRAGAW STREET,ANCHORAGE,ANCHORAGE,99504,3145,9072724867,BR,CC,0,WWW.CI.ANCHORAGE.AK.US/SERVICES/DEPARTMENTS,2,20,2001
AK,AK0003,2,AK0003-002,ANDERSON VILLAGE LIBRARY,M,ANDERSON,DENALI,99744,3078,9075822628,CE,NO,0,M,2,68,2001
AK,AK0006,2,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 STATE HIGHWAY,BETHEL,BETHEL,99559,1068,9075434516,CE,NO,0,M,2,50,2001
AK,AK0007,2,AK0007-002,BIG LAKE LIBRARY,MILE 4 SOUTH BIG LAKE ROAD,BIG LAKE,MATANUSKA-SUSITNA,99652,829,9078926475,CE,NO,0,WWW.CUSTOMCPU.COM/COMMERCIAL/BIGLAKECOC/LIBRARY/LI,2,170,2001
